,2020-1,2020-2,2020-3,2020-4,2021-1,2021-2,2021-3,2020-2021 총합
강남구,41,42,187,665,585,1749,3760,7029
강동구,10,25,150,397,592,851,1863,3888
강북구,5,19,120,301,423,563,1249,2680
강서구,22,56,207,1054,444,619,2122,4524
관악구,34,83,268,632,473,807,3198,5495
광진구,6,11,113,331,528,689,1890,3568
구로구,34,52,97,441,544,485,2619,4272
금천구,12,20,61,233,167,333,1303,2129
노원구,20,24,258,511,613,852,1695,3973
도봉구,6,56,144,368,425,505,1146,2650
동대문구,26,12,114,481,511,692,1770,3606
동작구,24,29,184,574,529,715,2124,4179
마포구,17,22,123,532,359,607,2119,3779
서대문구,13,22,92,386,310,439,1486,2748
서초구,25,32,138,631,412,978,2095,4311
성동구,6,43,71,330,400,592,1442,2884
성북구,15,18,301,478,554,705,1787,3858
송파구,27,28,284,780,658,1251,3458,6486
양천구,18,52,110,548,479,522,1621,3350
영등포구,19,44,127,504,485,717,2637,4533
용산구,12,38,73,295,473,519,1338,2748
은평구,21,32,198,535,581,774,2202,4343
종로구,15,7,66,316,217,202,843,1666
중구,5,7,46,225,242,223,1005,1753
중랑구,13,20,155,614,567,793,1618,3780
